company,adjusted,code,industry,type,area,总人口,财政总收入,人均财政收入,地区编号
b084bbba637babc2ba460210d2248772890a9438b2dda294fbbf0aff,b084bbba637babc2ba460210d2248772890a9438b2dda294fbbf0aff,1,96,P,城区,966304,344290,3562,1
7a6b7fcf9c24090b327d9c71bade1403d7884f9ea4a670a46ff298e4,7a6b7fcf9c24090b327d9c71bade1403d7884f9ea4a670a46ff298e4,2,72,E,城区,966304,344290,3562,1
c37e6e1dbaaa8385ab2f73b1ac09b8968484cfea4b2d0befd10b2fd0,c37e6e1dbaaa8385ab2f73b1ac09b8968484cfea4b2d0befd10b2fd0,3,72,P,城区,966304,344290,3562,1
d562ebf0d616b8c970aac68e1517384ac501a0551e1785be20e74252,d562ebf0d616b8c970aac68e1517384ac501a0551e1785be20e74252,4,72,P,城区,966304,344290,3562,1
631574fcf959b28b475a3ce4cbf38e60492498cc353b62a8fe7fd008,7b8ab149a3638283484e849a48ad0a10fb9c02fce06c28bf75e8a36c,5,92,P,城西,71650,14791,2064,6
e5bc85ba34e1b7bae4ee7c27b5dad4a906cd112ac9bd6ff699deb3de,e5bc85ba34e1b7bae4ee7c27b5dad4a906cd112ac9bd6ff699deb3de,6,95,P,城西,71650,14791,2064,6
cd8296cd36ac741fea29dd01a1450057e4a65db935e721c53f3d7cb8,cd8296cd36ac741fea29dd01a1450057e4a65db935e721c53f3d7cb8,7,92,P,城区,966304,344290,3562,1
308beb1c3cf3067820b27cdfb502bf2eca99b6ceeafe52ae0f209617,308beb1c3cf3067820b27cdfb502bf2eca99b6ceeafe52ae0f209617,8,92,P,城区,966304,344290,3562,1
50030b215c04f5b884e11a82a915a7a0f58658ccab2069b450d732c7,50030b215c04f5b884e11a82a915a7a0f58658ccab2069b450d732c7,9,96,P,城区,966304,344290,3562,1
d94029aa736d174c5648c7ccc2d1227cce999e49d490696aa9429c1d,d94029aa736d174c5648c7ccc2d1227cce999e49d490696aa9429c1d,10,96,P,城区,966304,344290,3562,1
a9c27671705b8cb164e4461fdf30cedf83bf5bfafb4efe24c618645d,a9c27671705b8cb164e4461fdf30cedf83bf5bfafb4efe24c618645d,11,78,E,城区,966304,344290,3562,1
de2f80f851dcafbad4999d97b49a3dea47df9cf965797145aa25fee7,de2f80f851dcafbad4999d97b49a3dea47df9cf965797145aa25fee7,12,96,P,城区,966304,344290,3562,1
e90bc794acffed648a7b1ef7356b031f50bb0590a950c215b4a6694c,e90bc794acffed648a7b1ef7356b031f50bb0590a950c215b4a6694c,13,72,P,城区,966304,344290,3562,1
30abd6baf958d7fa19ad6c6a4c740b6656019f066173c943e63a488b,30abd6baf958d7fa19ad6c6a4c740b6656019f066173c943e63a488b,14,96,P,城区,966304,344290,3562,1
17fdf0e0f352f2956e52d10978a49c7bd08aa85a67fc237d332eac96,369789ea93bea30fa724b6a979226d204bab082d60feb1832b706439,15,92,P,后宅,125147,15308,1223,2
738ab59c8b6716993fb5d07392807273c9480f9a9cae647e3d7e604e,738ab59c8b6716993fb5d07392807273c9480f9a9cae647e3d7e604e,16,24,E,城区,966304,344290,3562,1
d95580fb80d7550af921182d6157fa27f3751b8c2a70adad53cce12c,d95580fb80d7550af921182d6157fa27f3751b8c2a70adad53cce12c,17,51,E,城区,966304,344290,3562,1
