company,adjusted,code,industry,type,area,总人口,财政总收入,人均财政收入,地区编号
义乌市江东街道青口村民委员会,义乌市江东街道青口村民委员会,1,96,P,城区,966304,344290,3562,1
义乌新纪元工程咨询有限公司,义乌新纪元工程咨询有限公司,2,72,E,城区,966304,344290,3562,1
义乌市北苑街道农村财会代理中心,义乌市北苑街道农村财会代理中心,3,72,P,城区,966304,344290,3562,1
义乌市北苑街道复兴股份经济合作社,义乌市北苑街道复兴股份经济合作社,4,72,P,城区,966304,344290,3562,1
义乌市城西街道财务管理核算中心,义乌市城西街道办事处,5,92,P,城西,71650,14791,2064,6
义乌市人民政府城西街道办事处机关工会,义乌市人民政府城西街道办事处机关工会,6,95,P,城西,71650,14791,2064,6
义乌市人民政府北苑街道办事处,义乌市人民政府北苑街道办事处,7,92,P,城区,966304,344290,3562,1
义乌市人民政府稠城街道办事处,义乌市人民政府稠城街道办事处,8,92,P,城区,966304,344290,3562,1
义乌市稠城街道清塘村民委员会,义乌市稠城街道清塘村民委员会,9,96,P,城区,966304,344290,3562,1
义乌市江东街道东新屋村民委员会,义乌市江东街道东新屋村民委员会,10,96,P,城区,966304,344290,3562,1
义乌市民基市政工程有限公司,义乌市民基市政工程有限公司,11,78,E,城区,966304,344290,3562,1
义乌市稠江街道后申塘村民委员会,义乌市稠江街道后申塘村民委员会,12,96,P,城区,966304,344290,3562,1
义乌市人民政府稠江街道办事处农村财会代理中心,义乌市人民政府稠江街道办事处农村财会代理中心,13,72,P,城区,966304,344290,3562,1
义乌市稠江街道江湾村民委员会,义乌市稠江街道江湾村民委员会,14,96,P,城区,966304,344290,3562,1
义乌市人民政府后宅街道办事处财政专户,义乌市人民政府后宅街道办事处,15,92,P,后宅,125147,15308,1223,2
义乌市卡米娅饰品有限公司,义乌市卡米娅饰品有限公司,16,24,E,城区,966304,344290,3562,1
义乌市多恩贸易有限公司,义乌市多恩贸易有限公司,17,51,E,城区,966304,344290,3562,1
义乌市程利工艺品有限公司,义乌市程利工艺品有限公司,18,41,E,城区,966304,344290,3562,1
义乌市冰杰玩具厂,义乌市冰杰玩具厂,19,24,E,义亭,84203,18908,2245,5
义乌市人民政府城西街道办事处农村财会代理中心,义乌市人民政府城西街道办事处农村财会代理中心,20,72,P,城西,71650,14791,2064,6
义乌市城西街道黄山坞口村民委员会,义乌市城西街道黄山坞口村民委员会,21,96,P,城西,71650,14791,2064,6
义乌市供销合作总社,义乌市供销合作总社,22,51,E,城区,966304,344290,3562,1
义乌市再生资源日用杂品有限公司,义乌市再生资源日用杂品有限公司,23,51,E,城区,966304,344290,3562,1
义乌市明爱针织有限公司,义乌市明爱针织有限公司,24,17,E,义亭,84203,18908,2245,5
义乌市水电建筑工程有限公司,义乌市水电建筑工程有限公司,25,48,E,城区,966304,344290,3562,1
义乌市苏溪镇胡宅村经济服务社,义乌市苏溪镇胡宅村经济服务社,26,72,P,苏溪,74950,16888,2253,8
浙江义乌农村商业银行股份有限公司,浙江义乌农村商业银行股份有限公司,27,66,E,城区,966304,344290,3562,1
义乌市鲜艳彩印包装有限公司,义乌市鲜艳彩印包装有限公司,28,23,E,苏溪,74950,16888,2253,8
义乌市男子汉服饰有限公司,义乌市男子汉服饰有限公司,29,18,E,大陈,71817,16992,2366,9
义乌市大陈镇农村集体“三资”代理服务中心,义乌市大陈镇农村集体“三资”代理服务中心,30,72,P,大陈,71817,16992,2366,9
义乌市大陈镇杜桥村民委员会,义乌市大陈镇杜桥村民委员会,31,96,P,大陈,71817,16992,2366,9
