id,原始户名,调整后户名,企业/非企业,行业代码,单位编号,是否本地,街道/镇
0,75720f112e1e669fa3312dcda2bee7aa0e64c9ed74b26d01f3e4203a,75720f112e1e669fa3312dcda2bee7aa0e64c9ed74b26d01f3e4203a,企业,18,1874,本地,苏溪
1,626c2beadfd543756a564f4a77ecb1e7d2270636863654f9147ad077,626c2beadfd543756a564f4a77ecb1e7d2270636863654f9147ad077,企业,17,775,本地,苏溪
2,8b4eb26ff048483cb86b325c0c03350751911ab4928e2cfebab79d44,8b4eb26ff048483cb86b325c0c03350751911ab4928e2cfebab79d44,企业,48,6028,本地,稠江
3,8cf9f8f9b0a85798febd06ddfee5d58947f9da8020db80696e7f56c9,8cf9f8f9b0a85798febd06ddfee5d58947f9da8020db80696e7f56c9,企业,51,6265,本地,江东
4,a9c27671705b8cb164e4461fdf30cedf83bf5bfafb4efe24c618645d,a9c27671705b8cb164e4461fdf30cedf83bf5bfafb4efe24c618645d,企业,78,14045,本地,北苑
5,773917249e85381dd34cf9e9f745136fe7fe87c6aa63f11acf5e76fd,773917249e85381dd34cf9e9f745136fe7fe87c6aa63f11acf5e76fd,企业,23,3005,本地,城区
6,8665f20deab5f11ca05366ce1430b9ccc0e04e5e8eabbfd7f95a95a2,8665f20deab5f11ca05366ce1430b9ccc0e04e5e8eabbfd7f95a95a2,企业,47,5935,本地,佛堂
7,ef7609786fee43a0df6214ad3252ff46eb77cbaaa132233a1671311d,ef7609786fee43a0df6214ad3252ff46eb77cbaaa132233a1671311d,企业,48,6029,,
8,91d7ce37a14e1227902b09073fe5072dc87408a3ad2b3fa19a5238dd,91d7ce37a14e1227902b09073fe5072dc87408a3ad2b3fa19a5238dd,企业,19,2626,本地,廿三里
9,9c16e6b60291e69c1ac3a5b1c1f6b4d1f0916ef9eb5ddda6b18563e4,9c16e6b60291e69c1ac3a5b1c1f6b4d1f0916ef9eb5ddda6b18563e4,企业,51,6266,,
10,ed7763704897b389740194652f785cb8ec0f771878cfd95c4b118753,ed7763704897b389740194652f785cb8ec0f771878cfd95c4b118753,企业,20,2819,本地,稠江
11,366607dd6eae1cb751daaace8f180ea01aa2a9afd68c4250571dae69,366607dd6eae1cb751daaace8f180ea01aa2a9afd68c4250571dae69,企业,39,5237,,
12,738ab59c8b6716993fb5d07392807273c9480f9a9cae647e3d7e604e,738ab59c8b6716993fb5d07392807273c9480f9a9cae647e3d7e604e,企业,24,3353,本地,北苑
13,a1beb4db6845c92e330176dca49a00baaec4d6f7a2fed32e9cbe6426,a1beb4db6845c92e330176dca49a00baaec4d6f7a2fed32e9cbe6426,企业,41,5301,本地,北苑
14,93df90ef56465e8452d2e12d9f1452815f1096020912cc51d1f9f8bb,93df90ef56465e8452d2e12d9f1452815f1096020912cc51d1f9f8bb,企业,51,6267,本地,赤岸
15,b653afd9f0d488c2311768fbaa624a38f5e36fd3e07f114b92dc0036,b653afd9f0d488c2311768fbaa624a38f5e36fd3e07f114b92dc0036,企业,17,776,本地,义亭
16,f7127f18eb64afe3c22599cace4a7ef94f3bf36813e0e729c5f277f2,f7127f18eb64afe3c22599cace4a7ef94f3bf36813e0e729c5f277f2,企业,72,13294,本地,廿三里
17,8963cec99e1763aedf9d4b73c64eae0fa214fdd36f61eeb94f45f5a0,8963cec99e1763aedf9d4b73c64eae0fa214fdd36f61eeb94f45f5a0,企业,31,4858,本地,城区
18,b25a0bef637891fcd454c45bd6915af004b2d5d3c56cfa972b4ea4f3,b25a0bef637891fcd454c45bd6915af004b2d5d3c56cfa972b4ea4f3,企业,41,5302,本地,福田
19,70d3be3d83ae9d2a25a493fcc59895d0f4984a4d1bb2b4ebeaef00f1,70d3be3d83ae9d2a25a493fcc59895d0f4984a4d1bb2b4ebeaef00f1,企业,70,13067,本地,北苑
20,6eb04b2aba4b6a890dc77c2bb29b97ba1820226a4bf5b1a06d687190,6eb04b2aba4b6a890dc77c2bb29b97ba1820226a4bf5b1a06d687190,企业,66,13035,本地,福田
21,1c3aeaf7ebcad3fffbf50bc85b33517340e026452327b73ee825d328,1c3aeaf7ebcad3fffbf50bc85b33517340e026452327b73ee825d328,企业,23,3006,本地,苏溪
22,e032fff28ae33d3ad91dc6dd5110c7d145679e2d4ec9819887d3c701,e032fff28ae33d3ad91dc6dd5110c7d145679e2d4ec9819887d3c701,企业,17,777,本地,稠江
23,46340299795f91acc9c1db1fa064391a21f1d4ed310675cfec9df525,46340299795f91acc9c1db1fa064391a21f1d4ed310675cfec9df525,企业,48,6030,本地,稠江
24,dad375d2d42e9dc511c1c01781449a963e59abd9eb8d6c39931c5b8c,dad375d2d42e9dc511c1c01781449a963e59abd9eb8d6c39931c5b8c,企业,41,5303,本地,江东
25,5b85cae47c9dd5e0668936413e340f90e7fa7ce801660ad5947d4a8b,5b85cae47c9dd5e0668936413e340f90e7fa7ce801660ad5947d4a8b,企业,51,6268,,
26,06fd1fa0267b38df50ec4f325590606b55d618fa0e528011d4375646,06fd1fa0267b38df50ec4f325590606b55d618fa0e528011d4375646,企业,47,5936,本地,佛堂
27,25f1acf21bc271408e6d672d246cce92f2e52c4b486b1c26a1870841,25f1acf21bc271408e6d672d246cce92f2e52c4b486b1c26a1870841,企业,22,2871,本地,佛堂
28,044614c404007e1a60caf10eb8471489eebf6a54390f9f41321cac87,044614c404007e1a60caf10eb8471489eebf6a54390f9f41321cac87,企业,24,3354,本地,廿三里
29,549fa6e6a7f3feb503829fadbc616d7ef6e710aad2727ee8de17439f,549fa6e6a7f3feb503829fadbc616d7ef6e710aad2727ee8de17439f,企业,46,5927,本地,廿三里
30,a49c44a732a9ba71408562c348065ab2cac34a1004a91bfcee9f26bd,a49c44a732a9ba71408562c348065ab2cac34a1004a91bfcee9f26bd,企业,23,3007,本地,苏溪
31,da501b9a253899408c5c4da8a798922341a12126945dd03d7724deda,da501b9a253899408c5c4da8a798922341a12126945dd03d7724deda,企业,24,3355,本地,城区
32,496c3bdd8dec771a58924101541a74bdc8ff66aa2216fa8214697600,496c3bdd8dec771a58924101541a74bdc8ff66aa2216fa8214697600,企业,52,10617,本地,江东
33,9bbf92982034339a2f3a8f09f110fee98f5693047fdf15bb8f19e5a3,9bbf92982034339a2f3a8f09f110fee98f5693047fdf15bb8f19e5a3,企业,23,3008,本地,廿三里
34,804eedf801f4c92681d75d7615fb6a0dbb2d295be91c021bedb938db,804eedf801f4c92681d75d7615fb6a0dbb2d295be91c021bedb938db,企业,17,778,本地,稠城
35,d412f3b387acbed6e8d4d74a46d12edaa657b6f2282feb007a493ead,d412f3b387acbed6e8d4d74a46d12edaa657b6f2282feb007a493ead,企业,39,5238,本地,上溪
36,9b8b05c52ecc33f119355f10ace78928321f1695725cea77382cde0e,9b8b05c52ecc33f119355f10ace78928321f1695725cea77382cde0e,企业,23,3009,本地,城区
37,dd8bdef6bf2cf0c79db224dd0f0dd80251a7155ddc7140b6f87827f9,dd8bdef6bf2cf0c79db224dd0f0dd80251a7155ddc7140b6f87827f9,企业,33,4879,本地,上溪
38,5903f2e49e74fbd113f08988a9fa005530998fe71ec3341b0d9a3e07,5903f2e49e74fbd113f08988a9fa005530998fe71ec3341b0d9a3e07,企业,18,1875,本地,大陈
39,7c85661a5d7a4fe92dcad8990259110ee0626d585889bb46f2f0eb63,7c85661a5d7a4fe92dcad8990259110ee0626d585889bb46f2f0eb63,企业,51,6269,本地,稠城
40,404c9d9866b913922eb6e59192f995233d8028002cee7e71c7c39e40,404c9d9866b913922eb6e59192f995233d8028002cee7e71c7c39e40,企业,23,3010,本地,义亭
41,12ffe24403a41be3fcbeb10b692d37d2eb0a9cf1fdb318ba4b45b2c3,12ffe24403a41be3fcbeb10b692d37d2eb0a9cf1fdb318ba4b45b2c3,企业,51,6270,,
42,66c05b3716a447b8c86182292a2c17b4cb24921bc09dfdb37fdf6b0d,66c05b3716a447b8c86182292a2c17b4cb24921bc09dfdb37fdf6b0d,企业,47,5937,本地,城区
43,16de2e8757e7c8625a07bae7d8d1782916321d7dd08e25454a6cb86a,16de2e8757e7c8625a07bae7d8d1782916321d7dd08e25454a6cb86a,企业,17,779,本地,后宅
44,a4992a97e81836e6bf288652f024988141920ee15ddf0649e5a22a12,a4992a97e81836e6bf288652f024988141920ee15ddf0649e5a22a12,企业,52,10618,本地,稠江
45,7c57b66a70bd4f8971b4e613f6f76b9f83bb2dd853d86cec420c677a,7c57b66a70bd4f8971b4e613f6f76b9f83bb2dd853d86cec420c677a,企业,17,780,本地,稠城
46,03fb26e321de8978a78408edca6a8e2368a6e60933f7db123f627f89,03fb26e321de8978a78408edca6a8e2368a6e60933f7db123f627f89,企业,18,1876,本地,苏溪
47,e9a63da0d70b31d08ceaa93892eaab01f3a9be62d37032a8c75bd934,e9a63da0d70b31d08ceaa93892eaab01f3a9be62d37032a8c75bd934,企业,4,566,本地,城区
48,e2f30af2d9e0f8262e107b73a3442ba2a5beb8183b85d25204091cbe,e2f30af2d9e0f8262e107b73a3442ba2a5beb8183b85d25204091cbe,企业,17,781,本地,城区
49,7b13606bb4be9eb0386b3ba94fb2cdb3d2f7e671318be8cbdd09ce8d,7b13606bb4be9eb0386b3ba94fb2cdb3d2f7e671318be8cbdd09ce8d,企业,27,4408,,
50,3eeda5ab2246a8fa999eee1c88a0a9dc20414cc47e40f165a50b181a,3eeda5ab2246a8fa999eee1c88a0a9dc20414cc47e40f165a50b181a,企业,47,5938,本地,稠江
51,3ce9fcfdfc1e54a67671879aae84fde5f11330c3759ae3219ce5535b,3ce9fcfdfc1e54a67671879aae84fde5f11330c3759ae3219ce5535b,企业,51,6271,本地,稠城
52,192b9c440148d7b53e0ad226b61a54a138fe90c5bf135f090c865589,192b9c440148d7b53e0ad226b61a54a138fe90c5bf135f090c865589,企业,18,1877,本地,苏溪
53,dc596ad1b5747ac2fbc6df91b3379198c4c2ef517a746b4e3f069987,dc596ad1b5747ac2fbc6df91b3379198c4c2ef517a746b4e3f069987,企业,70,13068,本地,义亭
