id,原始户名,调整后户名,企业/非企业,行业,行业代码,单位编号.1,地址,是否本地,街道/镇
0,浙江义乌宝狮马服饰实业有限公司,浙江义乌宝狮马服饰实业有限公司,企业,纺织服装、服饰业,18,1874,浙江省义乌市苏溪镇义北工业园区苏福路,本地,苏溪
1,义乌市百成针织有限公司,义乌市百成针织有限公司,企业,纺织业,17,775,义乌市苏溪镇苏南村,本地,苏溪
2,浙江明远建设有限公司,浙江明远建设有限公司,企业,土木工程建筑业,48,6028,浙江省义乌市稠江街道总部经济园A8幢2401室,本地,稠江
3,义乌市英法进出口有限公司,义乌市英法进出口有限公司,企业,批发业,51,6265,义乌市江东街道江东新村B298幢4号,本地,江东
4,义乌市民基市政工程有限公司,义乌市民基市政工程有限公司,企业,公共设施管理业,78,14045,浙江省义乌市永兴路10号三楼,本地,北苑
5,义乌市万源彩印包装有限公司,义乌市万源彩印包装有限公司,企业,印刷和记录媒介复制业,23,3005,浙江省义乌市荷叶塘工业区,本地,城区
6,浙江王宅建设有限公司,浙江王宅建设有限公司,企业,房屋建筑业,47,5935,浙江省义乌市佛堂镇江滨北路84号,本地,佛堂
7,浙江众达建设有限公司,浙江众达建设有限公司,企业,土木工程建筑业,48,6029,浙江省磐安县安文镇花月路178号,,
8,义乌富迪手袋厂,义乌富迪手袋厂,企业,皮革、毛皮、羽毛及其制品和制鞋业,19,2626,浙江省义乌市义东工业园区,本地,廿三里
9,深圳市喜远通贸易有限公司,深圳市喜远通贸易有限公司,企业,批发业,51,6266,深圳市罗湖区凤凰路海珑华苑海天阁1915,,
10,义乌市鑫源木业有限公司,义乌市鑫源木业有限公司,企业,木材加工和木、竹、藤、棕、草制品业,20,2819,义乌市稠江街道江湾,本地,稠江
11,深圳市晖旺贸易有限公司,深圳市晖旺贸易有限公司,企业,计算机、通信和其他电子设备制造业,39,5237,深圳市福田区益田路明月花园高层北座22B,,
12,义乌市卡米娅饰品有限公司,义乌市卡米娅饰品有限公司,企业,文教、工美、体育和娱乐用品制造业,24,3353,浙江省义乌市北苑街道春晗路15号,本地,北苑
13,义乌市程利工艺品有限公司,义乌市程利工艺品有限公司,企业,其他制造业,41,5301,浙江省义乌市北苑景二路9号,本地,北苑
14,义乌市蒙特日用品有限公司,义乌市蒙特日用品有限公司,企业,批发业,51,6267,浙江省义乌市赤岸特色工业小区,本地,赤岸
15,义乌市明爱针织有限公司,义乌市明爱针织有限公司,企业,纺织业,17,776,浙江省义乌市义亭镇黄林山工业区二期甘塘西路18号,本地,义亭
16,义乌市东方广告有限公司,义乌市东方广告有限公司,企业,商务服务业,72,13294,浙江省义乌市义东路368号,本地,廿三里
17,义乌市永生不锈钢实业有限公司,义乌市永生不锈钢实业有限公司,企业,黑色金属冶炼和压延加工业,31,4858,浙江省义乌市义浦路10号,本地,城区
18,义乌市金益棉棒厂,义乌市金益棉棒厂,企业,其他制造业,41,5302,义乌市福田街道宗宅村,本地,福田
19,浙江中强置业投资有限公司,浙江中强置业投资有限公司,企业,房地产业,70,13067,浙江省义乌市机场路635号,本地,北苑
20,浙江义乌农村商业银行股份有限公司,浙江义乌农村商业银行股份有限公司,企业,货币金融服务,66,13035,浙江省义乌市福田街道城北路677号,本地,福田
21,义乌市鲜艳彩印包装有限公司,义乌市鲜艳彩印包装有限公司,企业,印刷和记录媒介复制业,23,3006,浙江省义乌市义北工业园区,本地,苏溪
22,义乌市红棉制线厂,义乌市红棉制线厂,企业,纺织业,17,777,义乌市稠江街道经济开发区三期,本地,稠江
23,义乌市公路建设开发有限公司,义乌市公路建设开发有限公司,企业,土木工程建筑业,48,6030,浙江省义乌市稠江街道贝村路170号,本地,稠江
24,义乌市洪业箱包有限公司,义乌市洪业箱包有限公司,企业,其他制造业,41,5303,义乌市江东街道青口工业区曙光南路4号,本地,江东
25,深圳市吉日祥进出口有限公司,深圳市吉日祥进出口有限公司,企业,批发业,51,6268,深圳市福田区福星路福星大厦1012室,,
26,浙江天恒建设有限公司,浙江天恒建设有限公司,企业,房屋建筑业,47,5936,浙江省义乌市佛堂镇王存村145号,本地,佛堂
27,义乌市鲁雅造纸厂,义乌市鲁雅造纸厂,企业,造纸和纸制品业,22,2871,义乌市佛堂镇鲁雅村,本地,佛堂
28,义乌市黑特制笔厂,义乌市黑特制笔厂,企业,文教、工美、体育和娱乐用品制造业,24,3354,义乌市廿三里1幢,本地,廿三里
29,浙江义乌市自来水有限公司,浙江义乌市自来水有限公司,企业,水的生产和供应业,46,5927,浙江省义乌市义东路67号,本地,廿三里
30,义乌市稠城赛特彩印厂,义乌市稠城赛特彩印厂,企业,印刷和记录媒介复制业,23,3007,义乌市苏溪镇工业园区,本地,苏溪
31,义乌市亮婷饰品有限公司,义乌市亮婷饰品有限公司,企业,文教、工美、体育和娱乐用品制造业,24,3355,义乌市青口工业园区,本地,城区
32,义乌市深浪网络科技有限公司,义乌市深浪网络科技有限公司,企业,零售业,52,10617,义乌市江东中路487号3楼,本地,江东
33,义乌市福人对联厂,义乌市福人对联厂,企业,印刷和记录媒介复制业,23,3008,义乌市廿三里街道后乐工业区,本地,廿三里
34,义乌市蒙莎袜业有限公司,义乌市蒙莎袜业有限公司,企业,纺织业,17,778,义乌市稠城街道荷叶塘工业区,本地,稠城
