,company,degree,average
3649,浙江省义乌市友谊商场,580,32.22
3603,义乌市供销合作总社,490,27.22
21,义乌至诚税务师事务所有限责任公司,458,25.44
7,浙江金桥税务师事务所有限责任公司,409,22.72
942,浙江富国超市有限公司,383,21.28
19,义乌市供销进出口有限公司,361,20.06
1029,浙江好搭档农业开发有限公司,306,17.00
3881,义乌市勇消消防器材商行,299,16.61
235,义乌市瑞阳缝纫设备有限公司,276,15.33
3615,义乌市城阳供销合作社,253,14.06
18,义乌市昌铃汽车销售服务有限公司,244,13.56
461,义乌市圣穗供销农资连锁有限公司,232,12.89
5605,恒达富士电梯有限公司义乌分公司,212,11.78
3694,义乌市义亭供销合作社,209,11.61
85,义乌市化安化工有限公司,199,11.06
3633,义乌市佛堂供销合作社,190,10.56
79,义乌市百佳食品有限公司,187,10.39
3648,义乌市中成电器店,178,9.89
4904,义乌市中义消防器材商行,172,9.56
3705,义乌市苏溪供销合作社,170,9.44
3668,义乌市赤岸供销合作社,168,9.33
430,义乌市再生资源日用杂品有限公司,163,9.06
1993,义乌市皓野农产品有限公司,161,8.94
179,浙江一帆日用品有限公司,160,8.89
8,义乌市健源农产品配送服务有限公司,159,8.83
3628,义乌市上溪供销合作社,159,8.83
4058,义乌市同年哥农产品专业合作社,157,8.72
64,义乌市新萃文化用品贸易有限公司,156,8.67
178,义乌市三溪堂国药馆连锁有限公司,153,8.50
56,浙江义乌中国小商品城贸易有限责任公司,148,8.22
3710,义乌市后宅供销合作社,145,8.06
74,义乌市正华实业有限公司,142,7.89
155,义乌市天成有限公司,142,7.89
1,义乌市蒙特日用品有限公司,140,7.78
45,大德健康医药股份有限公司,139,7.72
1340,义乌市伟达进出口有限公司,138,7.67
59,浙江万国进出口有限公司,130,7.22
1961,义乌市供销集团有限公司,126,7.00
15,义乌市永丰汽车销售有限公司,122,6.78
3778,义乌市廿三里供销合作社,118,6.56
184,义乌市三佳电脑贸易有限公司,114,6.33
512,义乌市云飞拉链有限公司,114,6.33
777,浙江省义乌市对外经济贸易有限公司,114,6.33
213,义乌市富来食品有限公司,111,6.17
1547,义乌市宏茂蔬菜配送有限公司,111,6.17
4648,义乌市磊源消防器材商行,110,6.11
354,浙江省义乌市农业生产资料有限公司,109,6.06
209,义乌市浩诗贸易有限公司,107,5.94
94,义乌市亚太纺织品有限公司,104,5.78
99,义乌市聚鑫机电设备有限公司,96,5.33
3763,义乌市路耀灯饰商行,96,5.33
1510,义乌市永诺贸易有限公司,94,5.22
86,义乌市金龙化工有限公司,93,5.17
261,义乌市森美化工原料有限公司,92,5.11
69,义乌市宝玛斯进出口有限公司,90,5.00
157,义乌市云莲煤炭有限公司,90,5.00
474,义乌市硕美电器有限公司,87,4.83
1463,义乌宏晖纺织有限公司,86,4.78
4172,义乌市欧麦隆超市,86,4.78
4420,义乌市荣腾厨房设备商行,86,4.78
145,浙江义乌捷升机电设备有限公司,84,4.67
297,义乌诚贵机电设备有限公司,84,4.67
382,义乌市鸿益拉链有限公司,84,4.67
5216,义乌市吉静副食品店,82,4.56
164,义乌市矿业煤炭有限公司,80,4.44
3638,义乌市汉军服装商行,79,4.39
150,义乌市振阳箱包材料有限公司,78,4.33
525,义乌市振创电器有限公司,76,4.22
1852,义乌宏瑞水果有限公司,76,4.22
9,义乌市民晟植绒有限公司,74,4.11
